iter	Passed	Remaining
563	14334	11081
564	14356	11053
565	14378	11025
566	14402	10998
567	14431	10976
568	14454	10949
569	14476	10921
570	14497	10892
571	14518	10863
572	14540	10835
573	14561	10807
574	14583	10779
575	14605	10751
576	14627	10723
577	14659	10702
578	14681	10674
579	14704	10647
580	14725	10619
581	14747	10591
582	14769	10564
583	14791	10536
584	14813	10508
585	14835	10480
586	14856	10453
587	14888	10432
588	14911	10404
589	14933	10377
590	14955	10350
591	14977	10322
592	14999	10294
593	15021	10267
594	15044	10240
595	15065	10211
596	15090	10186
597	15119	10164
598	15142	10136
599	15163	10109
600	15185	10081
601	15207	10053
602	15228	10026
603	15249	9998
604	15269	9969
605	15291	9941
606	15322	9920
607	15348	9895
608	15373	9870
609	15399	9845
610	15427	9822
611	15449	9794
612	15470	9767
613	15491	9739
614	15512	9711
615	15543	9689
616	15565	9662
617	15587	9635
618	15609	9607
619	15630	9579
620	15651	9551
621	15671	9524
622	15693	9496
623	15714	9468
624	15735	9441
625	15768	9420
626	15789	9393
627	15811	9366
628	15832	9338
629	15853	9310
630	15874	9283
631	15895	9255
632	15915	9227
633	15936	9200
634	15957	9172
635	15987	9149
636	16009	9123
637	16032	9096
638	16053	9069
639	16074	9041
640	16096	9014
641	16117	8987
642	16138	8960
643	16160	8933
644	16181	8906
645	16205	8880
646	16233	8857
647	16256	8830
648	16277	8803
649	16299	8776
650	16321	8749
651	16344	8723
652	16365	8696
653	16387	8669
654	16407	8642
655	16440	8621
656	16462	8594
657	16484	8567
658	16505	8540
659	16527	8513
660	16548	8486
661	16569	8459
662	16590	8433
663	16612	8406
664	16633	8379
665	16661	8355
666	16683	8329
667	16706	8303
668	16727	8276
669	16748	8249
670	16770	8222
671	16791	8196
672	16813	8169
673	16834	8142
674	16855	8115
675	16886	8093
676	16907	8066
677	16928	8039
678	16949	8012
679	16970	7986
680	16991	7959
681	17012	7932
682	17032	7905
683	17053	7878
684	17083	7855
685	17104	7829
686	17126	7802
687	17146	7775
688	17167	7749
689	17188	7722
690	17210	7695
691	17231	7669
692	17252	7642
693	17273	7616
694	17301	7592
695	17323	7566
696	17347	7541
697	17367	7514
698	17389	7488
699	17409	7461
700	17431	7435
701	17453	7408
702	17473	7382
703	17494	7355
704	17527	7334
705	17548	7307
706	17570	7281
707	17591	7255
708	17612	7228
709	17633	7202
710	17654	7175
711	17675	7149
712	17695	7122
713	17716	7096
714	17744	7072
715	17766	7047
716	17788	7020
717	17808	6994
718	17829	6967
719	17850	6941
720	17871	6915
721	17892	6889
722	17914	6863
723	17935	6837
724	17957	6811
725	17986	6788
726	18008	6762
727	18030	6736
728	18051	6710
729	18072	6684
730	18092	6657
731	18113	6631
732	18134	6605
733	18164	6582
734	18187	6557
735	18209	6531
736	18230	6505
737	18251	6479
738	18271	6453
739	18292	6427
740	18313	6401
741	18336	6375
742	18358	6350
743	18386	6326
744	18406	6300
745	18428	6274
746	18449	6248
747	18471	6222
748	18492	6197
749	18514	6171
750	18534	6145
751	18556	6119
752	18576	6093
753	18599	6068
754	18629	6045
755	18651	6019
756	18673	5994
757	18694	5968
758	18714	5942
759	18735	5916
760	18756	5890
761	18777	5864
762	18807	5841
763	18846	5821
764	18867	5796
765	18889	5770
766	18914	5745
767	18935	5719
768	18956	5694
769	18977	5668
770	18998	5642
771	19028	5619
772	19051	5594
773	19073	5569
774	19095	5543
775	19116	5518
776	19138	5492
777	19162	5467
778	19184	5442
779	19205	5417
780	19234	5393
781	19257	5368
782	19282	5343
783	19318	5322
784	19351	5300
785	19383	5277
786	19409	5253
787	19436	5229
788	19470	5207
789	19505	5185
790	19534	5161
791	19557	5136
792	19584	5112
793	19610	5087
794	19643	5065
795	19676	5042
796	19710	5020
797	19741	4997
798	19774	4974
799	19809	4952
800	19841	4929
801	19878	4907
802	19914	4885
803	19948	4863
804	19972	4838
805	20018	4818
806	20065	4798
807	20095	4775
808	20120	4750
809	20145	4725
810	20172	4701
811	20196	4676
812	20226	4652
813	20250	4627
814	20273	4601
815	20296	4576
816	20321	4551
817	20354	4528
818	20389	4506
819	20414	4481
820	20444	4457
821	20483	4435
822	20517	4412
823	20551	4389
824	20583	4366
825	20623	4344
826	20656	4321
827	20688	4297
828	20716	4273
829	20739	4247
830	20763	4222
831	20785	4197
832	20807	4171
833	20843	4148
834	20867	4123
835	20890	4098
836	20913	4072
837	20935	4047
838	20957	4021
839	20979	3996
840	21000	3970
841	21021	3944
842	21042	3919
843	21073	3895
844	21097	3870
845	21122	3845
846	21144	3819
847	21166	3793
848	21187	3768
849	21209	3742
850	21231	3717
851	21253	3691
852	21278	3666
853	21312	3643
854	21336	3618
855	21359	3593
856	21382	3567
857	21403	3542
858	21425	3516
859	21446	3491
860	21468	3465
861	21500	3441
862	21524	3416
863	21547	3391
864	21568	3366
865	21589	3340
866	21611	3315
867	21631	3289
868	21652	3264
